Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:COPx,2:COPy
31.000000,30.237219,-3.332483,337.063080,37.291267,28.422419,-1.352043,-0.084324,0.110636,-24.787287,-4.005695,310.025269,29.063276,-15.510494,0.050030,0.093745
32.000000,30.232252,-3.339799,337.029449,37.295723,28.425966,-1.410711,-0.084343,0.110660,-24.788288,-4.222373,309.293610,28.934843,-15.512234,0.050154,0.093551
33.000000,30.232658,-3.340827,337.392944,37.365372,28.475359,-1.410647,-0.084398,0.110747,-24.788082,-4.220327,309.298462,28.933947,-15.415410,0.049840,0.093547
34.000000,30.456959,-3.341252,337.766083,37.433594,28.534273,-1.453023,-0.084479,0.110827,-24.789705,-4.220868,308.930908,29.004015,-15.464281,0.050057,0.093885
35.000000,30.451849,-3.348644,338.480255,37.438244,28.438910,-1.368499,-0.084019,0.110607,-24.790449,-4.220257,308.199646,28.864607,-15.464403,0.050177,0.093656
36.000000,30.452255,-3.349672,338.843719,37.507893,28.488302,-1.368435,-0.084075,0.110694,-25.012463,-4.002501,308.200836,28.853174,-15.472036,0.050201,0.093618
37.000000,30.676556,-3.350104,339.216827,37.576111,28.547220,-1.410811,-0.084156,0.110773,-24.790241,-4.218211,308.204529,28.863710,-15.367579,0.049862,0.093651
38.000000,30.677437,-3.130399,338.841431,37.636192,28.597086,-1.439866,-0.084397,0.111073,-24.791376,-4.003885,307.832306,28.783472,-15.413771,0.050072,0.093504
39.000000,30.462929,-3.121299,339.244171,37.561661,28.533388,-1.423454,-0.084109,0.110722,-24.791376,-4.003885,307.832306,28.783472,-15.413771,0.050072,0.093504
40.000000,30.463472,-2.904911,339.590912,37.622761,28.584551,-1.452381,-0.084173,0.110788,-24.792610,-4.218141,307.105682,28.794371,-15.416573,0.050200,0.093760
41.000000,30.458231,-3.347050,339.590912,37.644310,28.584558,-1.453065,-0.084174,0.110852,-24.792610,-4.218141,307.105682,28.794371,-15.416573,0.050200,0.093760
42.000000,30.458776,-3.130663,339.937592,37.705414,28.635721,-1.481993,-0.084238,0.110919,-25.014624,-4.000384,307.106873,28.782938,-15.424206,0.050224,0.093723
43.000000,30.678303,-3.135169,340.302734,37.777260,28.597979,-1.439972,-0.084037,0.111011,-24.793793,-4.219057,306.737946,28.724215,-15.367558,0.050100,0.093644
44.000000,30.679453,-3.133907,340.307587,37.915527,28.695467,-1.439971,-0.084322,0.111415,-24.794771,-4.216023,306.011749,28.724131,-15.368744,0.050223,0.093866
45.000000,30.678154,-3.137580,340.660278,37.986786,28.648369,-1.439812,-0.084097,0.111509,-24.795954,-4.216940,305.643982,28.653978,-15.319729,0.050123,0.093750
46.000000,30.678898,-3.135289,340.301666,38.055412,28.696468,-1.439875,-0.084327,0.111828,-24.795698,-3.999651,305.644409,28.643000,-15.318111,0.050117,0.093713
47.000000,30.684410,-2.911593,340.682007,38.112061,28.744083,-1.410136,-0.084372,0.111870,-24.795954,-4.216940,305.643982,28.653978,-15.319729,0.050123,0.093750
48.000000,30.903198,-3.135714,340.674774,38.123634,28.755383,-1.482252,-0.084407,0.111906,-24.793217,-3.995384,305.278412,28.573656,-15.272161,0.050027,0.093599
49.000000,30.903738,-2.919334,341.021454,38.184734,28.806545,-1.511180,-0.084471,0.111972,-25.016466,-3.991883,304.552979,28.573126,-15.282598,0.050180,0.093820
50.000000,30.679102,-2.922220,341.370514,38.117538,28.748924,-1.468677,-0.084216,0.111660,-24.798117,-4.214824,304.550018,28.583738,-15.271898,0.050146,0.093856
51.000000,30.903402,-2.922652,341.743591,38.185757,28.807842,-1.511053,-0.084297,0.111738,-24.802338,-4.214775,303.452026,28.652826,-15.223801,0.050169,0.094423
52.000000,30.904146,-2.920362,341.384979,38.254383,28.855938,-1.511116,-0.084526,0.112056,-24.797003,-3.993807,303.816895,28.573492,-15.273205,0.050271,0.094048
53.000000,31.122536,-2.927762,342.096619,38.256855,28.869289,-1.468669,-0.084389,0.111831,-24.796358,-3.990234,303.458252,28.503344,-15.225517,0.050173,0.093928
54.000000,31.124075,-2.925896,342.113678,38.395882,28.867588,-1.469029,-0.084380,0.112231,-24.797981,-3.990774,303.090668,28.573412,-15.274389,0.050395,0.094273
55.000000,31.128277,-2.921567,341.764343,38.463234,28.816662,-1.553757,-0.084317,0.112543,-24.799164,-3.991691,302.722931,28.503256,-15.225372,0.050295,0.094156
56.000000,31.128990,-2.704400,342.104767,38.383705,28.966022,-1.582418,-0.084670,0.112199,-24.800346,-3.992608,302.355164,28.433100,-15.176357,0.050194,0.094039
57.000000,31.128822,-2.705180,342.111023,38.524334,28.867825,-1.582684,-0.084381,0.112608,-24.801764,-3.991102,301.992462,28.502272,-15.128405,0.050095,0.094381
58.000000,31.128078,-2.707470,342.469666,38.455711,28.819725,-1.582621,-0.084153,0.112289,-25.024033,-3.990634,301.993256,28.501822,-15.137655,0.050126,0.094379
59.000000,31.347212,-2.712579,342.822632,38.526802,28.881172,-1.540239,-0.084245,0.112381,-24.801764,-3.991102,301.992462,28.502272,-15.128405,0.050095,0.094381
60.000000,31.347349,-2.495164,342.805847,38.518257,28.882942,-1.569231,-0.084255,0.112362,-24.579493,-3.991569,301.991669,28.502726,-15.119152,0.050065,0.094382
61.000000,31.352785,-2.708930,343.206299,38.593575,28.928036,-1.624933,-0.084288,0.112450,-24.580675,-3.992486,301.623932,28.432570,-15.070135,0.049963,0.094265
62.000000,31.128893,-2.709525,343.196655,38.595001,28.918510,-1.582493,-0.084262,0.112457,-24.804569,-3.992559,301.257172,28.502184,-15.128259,0.050217,0.094611
63.000000,31.130180,-2.490848,343.184753,38.724728,29.017773,-1.611483,-0.084554,0.112839,-25.023895,-3.766583,300.533936,28.491488,-15.140145,0.050377,0.094803
64.000000,31.354313,-2.492052,343.564087,38.933582,28.978489,-1.654126,-0.084347,0.113323,-24.577732,-3.766977,300.899902,28.422327,-15.072769,0.050092,0.094458
65.000000,31.572462,-2.497652,343.906006,38.725773,29.040646,-1.611478,-0.084444,0.112606,-24.577732,-3.766977,300.899902,28.422327,-15.072769,0.050092,0.094458
66.000000,31.572651,-2.496744,343.541382,38.934280,29.089741,-1.611446,-0.084676,0.113332,-25.025078,-3.767499,300.166168,28.421335,-15.091130,0.050276,0.094685
67.000000,31.572704,-2.499460,344.275696,38.936058,28.991844,-1.611681,-0.084211,0.113096,-24.802807,-3.767967,300.165375,28.421785,-15.081876,0.050245,0.094687
68.000000,31.571907,-2.499035,343.900024,38.865658,29.041641,-1.611383,-0.084448,0.113014,-24.804222,-3.766461,299.802673,28.490961,-15.033921,0.050146,0.095032
69.000000,31.572453,-2.282640,344.246765,38.926758,29.092804,-1.640311,-0.084511,0.113078,-24.804222,-3.766461,299.802673,28.490961,-15.033921,0.050146,0.095032
70.000000,31.573250,-2.283065,344.622437,38.997158,29.043007,-1.640608,-0.084275,0.113159,-24.577339,-3.325639,299.440948,28.401018,-15.073640,0.050339,0.094847
71.000000,31.573517,-2.501515,345.002747,39.075348,29.090630,-1.611552,-0.084320,0.113261,-24.801285,-3.540954,299.078644,28.480715,-15.036559,0.050276,0.095228
72.000000,31.573654,-2.284093,344.985901,39.066799,29.092400,-1.640544,-0.084329,0.113242,-24.801029,-3.323665,299.079041,28.469736,-15.034938,0.050271,0.095191
73.000000,31.574062,-2.285120,345.349426,39.136448,29.141792,-1.640480,-0.084383,0.113324,-24.582634,-3.327953,298.341400,28.331079,-15.023107,0.050355,0.094962
74.000000,31.797955,-2.284525,345.359009,39.135017,29.151318,-1.682919,-0.084409,0.113317,-24.802208,-3.324582,298.711304,28.399584,-14.985923,0.050169,0.095074
75.000000,31.797129,-2.067458,344.972778,39.196709,29.104689,-1.711879,-0.084368,0.113623,-24.805246,-3.323616,297.981049,28.538822,-14.986842,0.050295,0.095774
