Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:COPx,2:COPy
31.000000,27.763277,-5.431015,262.739807,22.897360,21.777538,-0.752439,-0.082886,0.087148,-33.021023,0.600900,376.966187,34.506622,-18.722260,0.049666,0.091538
32.000000,27.769583,-5.207743,263.495789,23.024405,21.775356,-0.722997,-0.082640,0.087381,-33.023830,0.599443,376.230865,34.506538,-18.722111,0.049762,0.091716
33.000000,27.540199,-5.433665,263.457214,23.038080,21.866802,-0.709870,-0.082999,0.087445,-33.022949,0.600593,375.867188,34.297058,-18.673367,0.049681,0.091248
34.000000,27.541401,-5.435118,264.196350,23.178129,21.866398,-0.710103,-0.082766,0.087731,-33.028049,0.377203,375.497253,34.237061,-18.622906,0.049595,0.091178
35.000000,27.542910,-5.218375,264.912476,23.168993,21.965961,-0.739062,-0.082918,0.087459,-32.810001,0.376785,374.398438,34.306602,-18.565556,0.049588,0.091631
36.000000,27.761707,-5.226803,265.987640,23.241110,22.028708,-0.696553,-0.082819,0.087377,-33.029888,0.382294,373.673584,34.166443,-18.577629,0.049716,0.091434
37.000000,27.762913,-5.228255,266.726807,23.381159,22.028303,-0.696786,-0.082588,0.087660,-33.030426,0.384951,372.947205,34.026138,-18.480927,0.049554,0.091236
38.000000,27.988174,-5.228333,267.469360,23.379143,22.135622,-0.739193,-0.082759,0.087409,-33.033234,0.383494,372.211884,34.026047,-18.480782,0.049651,0.091416
39.000000,27.988583,-5.229360,267.832886,23.448792,22.185015,-0.739129,-0.082832,0.087550,-33.035397,0.385611,371.117920,33.955811,-18.432953,0.049669,0.091496
40.000000,27.546913,-5.010506,268.543945,23.579521,22.263987,-0.767872,-0.082906,0.087805,-32.816280,0.161001,371.106079,33.828217,-18.421558,0.049640,0.091155
41.000000,27.765301,-5.017906,269.255615,23.581985,22.277340,-0.725426,-0.082737,0.087582,-33.037323,0.385304,370.018921,33.746246,-18.384060,0.049684,0.091201
42.000000,27.766672,-5.018579,269.988525,23.581398,22.375135,-0.725393,-0.082874,0.087342,-32.815800,0.385448,369.286865,33.607292,-18.374931,0.049758,0.091006
43.000000,27.991766,-5.019436,270.737305,23.720016,22.384256,-0.768067,-0.082679,0.087613,-32.821159,-0.055233,368.916534,33.558273,-18.326084,0.049675,0.090964
44.000000,27.991766,-5.019436,270.737305,23.720016,22.384256,-0.768067,-0.082679,0.087613,-32.823318,-0.053117,367.822571,33.488037,-18.278255,0.049693,0.091044
45.000000,28.205463,-5.252588,271.795654,23.805138,22.448776,-0.755235,-0.082594,0.087585,-32.822876,-0.053494,367.822388,33.347816,-18.180363,0.049427,0.090663
46.000000,28.205870,-5.253616,272.159149,23.874786,22.498169,-0.755171,-0.082665,0.087724,-32.825249,-0.053423,366.723572,33.278473,-18.229362,0.049709,0.090745
47.000000,28.208174,-5.037299,273.250977,23.936047,22.547935,-0.784427,-0.082517,0.087597,-32.824802,-0.053800,366.723389,33.138252,-18.131474,0.049442,0.090363
48.000000,28.208580,-5.038326,273.614471,24.005695,22.597328,-0.784363,-0.082588,0.087735,-33.044682,-0.048289,365.998535,32.998093,-18.143551,0.049573,0.090159
49.000000,28.209394,-5.040381,274.341461,24.144993,22.696114,-0.784235,-0.082729,0.088011,-33.048904,-0.048240,364.900513,33.067177,-18.095451,0.049590,0.090620
50.000000,28.209803,-5.041409,274.704987,24.214638,22.745506,-0.784170,-0.082800,0.088148,-32.827820,-0.049624,364.531952,32.997475,-18.037182,0.049480,0.090520
51.000000,28.211172,-5.042081,275.437927,24.214052,22.843304,-0.784137,-0.082934,0.087911,-32.828568,-0.049014,363.800720,32.858063,-18.037308,0.049580,0.090319
52.000000,28.207272,-5.268258,276.160278,24.367105,22.844677,-0.814046,-0.082723,0.088235,-32.828568,-0.049014,363.800720,32.858063,-18.037308,0.049580,0.090319
53.000000,28.207071,-5.054153,276.865601,24.359575,22.847740,-0.842911,-0.082523,0.087983,-32.830494,-0.049320,362.701691,32.648506,-17.988415,0.049596,0.090015
54.000000,28.207886,-5.056209,277.592590,24.498873,22.946526,-0.842783,-0.082663,0.088255,-32.831474,-0.046286,361.975494,32.648422,-17.989601,0.049698,0.090195
55.000000,28.432182,-5.056641,277.965759,24.567087,23.005440,-0.885157,-0.082764,0.088382,-32.832909,-0.264496,361.607330,32.589241,-17.942204,0.049618,0.090123
56.000000,28.652418,-4.843981,278.671387,24.559404,23.117062,-0.871797,-0.082955,0.088130,-32.830956,-0.260982,361.245209,32.518791,-17.895889,0.049539,0.090019
57.000000,28.652824,-4.845008,279.034882,24.629053,23.166454,-0.871733,-0.083024,0.088265,-32.612312,-0.047977,360.507935,32.369148,-17.882439,0.049603,0.089788
58.000000,28.434557,-4.844670,280.143188,24.699026,23.105894,-0.914222,-0.082479,0.088166,-32.834301,-0.259782,359.783478,32.378395,-17.799046,0.049472,0.089994
59.000000,28.652895,-4.849354,280.120544,24.699717,23.217146,-0.871542,-0.082883,0.088175,-32.615913,-0.264070,359.045868,32.239738,-17.787209,0.049540,0.089793
60.000000,28.435677,-4.628522,280.847168,24.689137,23.304655,-0.942819,-0.082980,0.087910,-32.841568,-0.481056,358.319611,32.248161,-17.700745,0.049399,0.089998
61.000000,28.879498,-4.633469,281.585449,24.829205,23.325830,-0.943175,-0.082837,0.088176,-32.839714,-0.481034,358.318817,32.109741,-17.797840,0.049670,0.089612
62.000000,28.880314,-4.635525,282.312439,24.968498,23.424616,-0.943046,-0.082974,0.088443,-32.843060,-0.479834,356.857117,31.969351,-17.700993,0.049602,0.089586
63.000000,28.879974,-4.638843,283.034576,24.969521,23.425911,-0.942919,-0.082767,0.088221,-32.844242,-0.480751,356.489349,31.899191,-17.651978,0.049516,0.089481
64.000000,28.880520,-4.422448,283.381287,25.030617,23.477074,-0.971847,-0.082846,0.088328,-32.621281,-0.262398,356.125458,31.819410,-17.690247,0.049674,0.089349
65.000000,28.877581,-4.648269,284.473083,25.113434,23.526842,-1.001787,-0.082703,0.088281,-32.623898,-0.481525,355.389557,31.690077,-17.593834,0.049506,0.089170
66.000000,29.096720,-4.653387,284.826080,25.184532,23.588293,-0.959403,-0.082816,0.088421,-32.626060,-0.479408,354.295593,31.619841,-17.546001,0.049524,0.089247
67.000000,29.097347,-4.656350,285.917664,25.115318,23.637989,-0.959307,-0.082674,0.087841,-32.627243,-0.480325,353.927856,31.549688,-17.496983,0.049437,0.089142
68.000000,28.880226,-4.654741,287.030823,25.323563,23.674927,-1.001796,-0.082482,0.088226,-32.626804,-0.478798,353.564362,31.480436,-17.546124,0.049626,0.089037
69.000000,29.099501,-4.442435,287.367035,25.386112,23.738144,-0.988404,-0.082606,0.088340,-32.848537,-0.473308,352.840302,31.478697,-17.461109,0.049487,0.089215
70.000000,29.105070,-4.438786,287.750671,25.452877,23.785004,-1.073098,-0.082658,0.088455,-32.627270,-0.690452,352.107819,31.350721,-17.453598,0.049569,0.089037
71.000000,29.325140,-4.226898,288.462524,25.585827,23.798428,-1.060006,-0.082501,0.088697,-32.409290,-0.476557,351.739136,31.409658,-17.392075,0.049446,0.089298
72.000000,29.326374,-4.444993,289.212219,25.593788,23.894451,-1.030980,-0.082619,0.088495,-32.630356,-0.471964,350.646545,31.199347,-17.355137,0.049495,0.088977
73.000000,29.326172,-4.230888,289.917603,25.586258,23.897514,-1.059846,-0.082429,0.088254,-32.635326,-0.471304,348.817261,31.129026,-17.307163,0.049617,0.089242
74.000000,29.327782,-4.233368,291.020264,25.795956,23.946503,-1.060015,-0.082285,0.088640,-32.634705,-0.687442,348.453186,30.930532,-17.260029,0.049533,0.088765
75.000000,29.328190,-4.234396,291.383789,25.865604,23.995899,-1.059951,-0.082352,0.088768,-32.635887,-0.688359,348.085419,30.860373,-17.211014,0.049445,0.088657
76.000000,29.322886,-4.245031,292.072266,25.871082,24.000744,-1.118491,-0.082174,0.088578,-32.417400,-0.687250,346.623108,30.860655,-17.202806,0.049630,0.089032
77.000000,29.552698,-4.021760,292.825684,25.995949,24.107277,-1.131128,-0.082326,0.088776,-32.418583,-0.688166,346.255310,30.790503,-17.153791,0.049541,0.088924
78.000000,29.548964,-4.247156,293.541840,26.008358,24.206842,-1.160770,-0.082465,0.088602,-32.417706,-0.687016,345.891663,30.581022,-17.105038,0.049452,0.088412
79.000000,29.550711,-4.032221,294.627686,26.209511,24.257601,-1.189932,-0.082333,0.088958,-32.638466,-0.682658,345.530457,30.650343,-17.165865,0.049680,0.088705
80.000000,29.769846,-4.037331,294.980682,26.280602,24.319052,-1.147550,-0.082443,0.089093,-32.420074,-0.686945,344.792847,30.511686,-17.154036,0.049752,0.088493
81.000000,29.770252,-4.038358,295.344208,26.350250,24.368444,-1.147486,-0.082509,0.089219,-32.422672,-0.686356,344.062378,30.510702,-17.057066,0.049576,0.088678
82.000000,29.769915,-4.041677,296.066315,26.351273,24.369740,-1.147359,-0.082312,0.089005,-32.642994,-0.682375,343.701050,30.439795,-17.020002,0.049520,0.088565
83.000000,29.771116,-4.043129,296.805511,26.491322,24.369339,-1.147592,-0.082105,0.089255,-32.419846,-0.681692,343.336548,30.230772,-16.962002,0.049403,0.088050
84.000000,29.772625,-3.826387,297.521667,26.482182,24.468903,-1.176551,-0.082242,0.089009,-32.422649,-0.683148,342.601196,30.230688,-16.961857,0.049509,0.088239
85.000000,29.997467,-3.610425,298.241486,26.611504,24.578983,-1.247854,-0.082413,0.089228,-32.423630,-0.680115,341.875000,30.230604,-16.963043,0.049618,0.088426
86.000000,29.997791,-3.831590,299.356110,26.691471,24.528711,-1.219033,-0.081938,0.089163,-32.424374,-0.679504,341.143738,30.091192,-16.963167,0.049724,0.088207
87.000000,29.998741,-3.616223,300.066284,26.822220,24.629267,-1.247897,-0.082079,0.089388,-32.425556,-0.680421,340.776001,30.021040,-16.914150,0.049634,0.088096
88.000000,30.000111,-3.616895,300.799255,26.821630,24.727058,-1.247864,-0.082205,0.089168,-32.427719,-0.678304,339.682068,29.950804,-16.866320,0.049653,0.088173
89.000000,30.218504,-3.624303,301.510895,26.824102,24.740408,-1.205416,-0.082055,0.088966,-32.431641,-0.900779,339.679871,29.960958,-16.864870,0.049649,0.088204
90.000000,30.213942,-3.632624,301.840729,26.898207,24.793352,-1.264019,-0.082141,0.089114,-32.432384,-0.900169,338.948608,29.821554,-16.864992,0.049757,0.087983
91.000000,29.996416,-3.629995,302.590424,27.036806,24.780893,-1.306573,-0.081896,0.089351,-32.429646,-0.678611,338.583069,29.741240,-16.817427,0.049670,0.087840
92.000000,30.215961,-3.636132,303.306915,27.177546,24.891733,-1.264125,-0.082068,0.089604,-32.208122,-0.678467,337.851013,29.602278,-16.808298,0.049751,0.087619
93.000000,30.217333,-3.636805,304.039886,27.176958,24.989527,-1.264092,-0.082192,0.089386,-32.214897,-1.117642,337.117981,29.622435,-16.711496,0.049572,0.087870
94.000000,30.218285,-3.421445,304.750092,27.307707,25.090082,-1.292955,-0.082330,0.089607,-32.215641,-1.117032,336.386719,29.483027,-16.711622,0.049680,0.087646
95.000000,30.220449,-3.422543,305.858673,27.377522,25.138077,-1.293220,-0.082189,0.089510,-32.216824,-1.117949,336.018982,29.412870,-16.662603,0.049588,0.087533
96.000000,30.438484,-3.645430,305.859039,27.527399,25.149355,-1.221816,-0.082225,0.090000,-32.438305,-0.895170,335.295349,29.400156,-16.575974,0.049437,0.087684
97.000000,30.445156,-3.424003,306.595306,27.515385,25.246387,-1.335532,-0.082344,0.089745,-32.438126,-1.110932,334.931427,29.341883,-16.626728,0.049642,0.087606
98.000000,30.445616,-3.427746,307.693085,27.586807,25.197889,-1.335702,-0.081893,0.089657,-32.441650,-0.893971,333.833618,29.259764,-16.479128,0.049363,0.087648
99.000000,30.447393,-3.429446,308.789581,27.655865,25.345076,-1.335605,-0.082079,0.089562,-32.221748,-0.894367,332.734009,29.190880,-16.518867,0.049646,0.087730
100.000000,30.442698,-3.655198,309.136261,27.738518,25.396246,-1.365217,-0.082152,0.089729,-32.222004,-1.111656,332.733582,29.201859,-16.520489,0.049651,0.087763
101.000000,30.443649,-3.439831,309.846466,27.869263,25.496801,-1.394080,-0.082289,0.089945,-32.222752,-1.111046,332.002319,29.062447,-16.520611,0.049761,0.087537
102.000000,30.445068,-3.443218,311.313690,27.870449,25.496700,-1.394282,-0.081900,0.089525,-32.224911,-1.108929,330.908386,28.992210,-16.472782,0.049780,0.087614
103.000000,30.664204,-3.448328,311.666687,27.941547,25.558147,-1.351899,-0.082005,0.089652,-32.224468,-1.109306,330.908203,28.851984,-16.374891,0.049485,0.087190
104.000000,30.888910,-3.449788,312.403290,28.079411,25.666458,-1.394211,-0.082158,0.089882,-32.005005,-1.111230,330.172089,28.852352,-16.365498,0.049567,0.087386
105.000000,30.665562,-3.234004,312.740387,28.141941,25.708099,-1.380698,-0.082203,0.089985,-32.005985,-1.108196,329.445862,28.852272,-16.366680,0.049679,0.087578
106.000000,30.667173,-3.236484,313.843079,28.351635,25.757088,-1.380868,-0.082070,0.090337,-32.007168,-1.109113,329.078125,28.782120,-16.317665,0.049586,0.087463
107.000000,30.668543,-3.237157,314.576019,28.351048,25.854879,-1.380835,-0.082190,0.090125,-32.007912,-1.108503,328.346863,28.642708,-16.317787,0.049697,0.087233
108.000000,30.891691,-3.238845,314.944275,28.280991,25.816307,-1.423212,-0.081971,0.089797,-32.009094,-1.109420,327.979126,28.572556,-16.268772,0.049603,0.087117
109.000000,30.892895,-3.240297,315.683441,28.421040,25.815903,-1.423446,-0.081778,0.090030,-32.228981,-1.103911,327.254272,28.432392,-16.280846,0.049750,0.086882
110.000000,30.893847,-3.024937,316.393646,28.551785,25.916458,-1.452309,-0.081912,0.090241,-32.009403,-1.107281,326.884338,28.363892,-16.318031,0.049920,0.086770
111.000000,30.895216,-3.025610,317.126587,28.551199,26.014252,-1.452276,-0.082031,0.090031,-31.789732,-1.107160,326.153137,28.363358,-16.211811,0.049706,0.086963
112.000000,31.108912,-3.258761,318.184906,28.636320,26.078775,-1.439442,-0.081961,0.089999,-31.790915,-1.108076,325.785339,28.293201,-16.162796,0.049612,0.086846
113.000000,31.109457,-3.042374,318.531586,28.697420,26.129938,-1.468370,-0.082032,0.090093,-32.010803,-1.102568,325.060486,28.153046,-16.174873,0.049760,0.086609
114.000000,31.109865,-3.043402,318.895111,28.767069,26.179331,-1.468306,-0.082094,0.090209,-31.789713,-1.103950,324.691956,28.083344,-16.116608,0.049637,0.086492
115.000000,31.111067,-3.044854,319.634308,28.907114,26.178926,-1.468540,-0.081903,0.090438,-31.795794,-1.324307,323.595825,28.023262,-16.067329,0.049652,0.086600
