Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy
29.000000,-3.832600,-4.166946,22.620972,-0.620737,1.532014,0.261145,-0.067725,-0.027441,-43.894146,13.496024,599.360718,39.322876,-51.150719,4.047267,0.085342,0.065608
30.000000,-3.614006,-4.388450,22.627289,-0.610741,1.542300,0.332455,-0.068161,-0.026991,-44.117832,13.497997,598.998840,39.391594,-51.112022,4.088630,0.085329,0.065762
31.000000,-3.622563,-5.272025,23.366127,-0.708108,1.639114,0.331026,-0.070149,-0.030305,-44.118576,13.498608,598.267578,39.252182,-51.112144,4.088793,0.085434,0.065610
32.000000,-3.401349,-5.713912,25.206467,-0.621842,1.991800,0.431820,-0.079019,-0.024670,-44.118576,13.498608,598.267578,39.252182,-51.112144,4.088793,0.085434,0.065610
33.000000,-3.864269,-7.931181,32.168560,-0.029623,2.804070,0.800417,-0.087168,-0.000921,-44.118576,13.498608,598.267578,39.252182,-51.112144,4.088793,0.085434,0.065610
34.000000,-6.105389,-10.125801,35.108139,-0.065198,3.088558,1.313133,-0.087973,-0.001857,-44.118576,13.498608,598.267578,39.252182,-51.112144,4.088793,0.085434,0.065610
35.000000,-9.206659,-10.328846,36.557537,0.086373,3.135852,1.284470,-0.085779,0.002363,-44.121864,13.280380,597.900269,39.331436,-50.967651,4.118591,0.085244,0.065783
36.000000,-10.718481,-7.667154,37.645153,0.166043,3.305723,0.959865,-0.087813,0.004411,-44.118038,13.503630,597.542786,39.250908,-51.017876,4.005572,0.085379,0.065687
37.000000,-10.012762,-4.357157,39.122826,0.143108,3.434927,1.036322,-0.087799,0.003658,-44.341488,13.503181,597.175781,39.180298,-50.978111,4.047081,0.085365,0.065609
38.000000,-9.335131,-2.606221,40.540520,0.201566,3.571146,1.166264,-0.088088,0.004972,-44.339733,13.727770,596.084045,39.099899,-50.931732,4.077390,0.085444,0.065595
39.000000,-9.110518,-1.959527,41.955090,0.455444,3.587866,1.036838,-0.085517,0.010856,-44.563972,13.509278,595.720520,39.039162,-50.893219,4.005524,0.085431,0.065533
40.000000,-9.109073,-1.968086,44.124729,0.318594,3.688273,0.893605,-0.083587,0.007220,-44.342098,13.725936,595.348511,38.959587,-50.833702,4.077407,0.085385,0.065440
41.000000,-8.884346,-1.312037,44.837971,0.427662,3.799862,1.051168,-0.084747,0.009538,-44.346020,13.503463,595.346375,38.969749,-50.832253,4.047124,0.085383,0.065457
42.000000,-8.661651,-1.318228,47.774120,0.427542,4.006388,1.236777,-0.083861,0.008949,-44.346020,13.503463,595.346375,38.969749,-50.832253,4.047124,0.085383,0.065457
43.000000,-9.102221,-1.534884,49.251793,0.574777,4.179616,1.266051,-0.084862,0.011670,-44.127319,13.497035,595.703430,39.039749,-50.771164,4.088561,0.085229,0.065536
44.000000,-9.769321,-1.759762,51.788589,0.657075,4.493060,1.279099,-0.086758,0.012688,-44.565731,13.941246,595.345459,38.947258,-50.743179,4.088679,0.085233,0.065420
45.000000,-9.979281,-1.313538,53.999321,0.629979,4.872551,1.381351,-0.090234,0.011666,-44.790020,13.507512,594.986450,38.896591,-50.609463,4.046986,0.085060,0.065374
46.000000,-9.302304,-0.229607,57.624008,0.861315,5.105035,1.252223,-0.088592,0.014947,-45.009903,13.513022,594.261536,38.756439,-50.621532,4.005558,0.085184,0.065218
47.000000,-8.403993,0.855414,60.137527,1.020658,5.398237,1.081283,-0.089765,0.016972,-44.793365,13.508712,593.524719,38.756195,-50.512615,4.047019,0.085106,0.065298
48.000000,-6.852594,1.044775,64.482521,1.296157,5.675187,0.950672,-0.088011,0.020101,-44.791813,13.731256,592.428101,38.676697,-50.563057,4.077239,0.085349,0.065285
49.000000,-6.193824,0.800759,68.462265,1.382919,5.860276,0.963343,-0.085599,0.020200,-44.571579,13.726146,592.793091,38.606270,-50.501865,3.975600,0.085193,0.065126
50.000000,-6.646233,0.128208,71.727730,1.628263,6.185381,1.017794,-0.086234,0.022701,-44.795197,13.513805,591.701050,38.685577,-50.467339,3.963735,0.085292,0.065380
51.000000,-7.085826,0.124075,75.008240,1.558875,6.410378,1.018204,-0.085462,0.020783,-44.577988,13.508599,590.595703,38.476768,-50.406494,4.005498,0.085349,0.065149
52.000000,-6.862932,0.115253,77.930885,1.560334,6.617919,1.060386,-0.084920,0.020022,-44.580585,13.509189,589.865173,38.475777,-50.309525,4.005369,0.085290,0.065228
53.000000,-6.416893,-0.109049,80.139694,1.707020,6.932104,1.089451,-0.086500,0.021301,-44.802326,13.514678,589.141174,38.474045,-50.224510,3.963648,0.085250,0.065305
54.000000,-6.199492,-0.343199,83.033318,1.720731,7.240610,1.102320,-0.087201,0.020723,-44.799587,13.736234,588.775574,38.393738,-50.176941,3.993940,0.085223,0.065209
55.000000,-5.987843,-1.023577,86.655319,1.897650,7.452221,1.114366,-0.085998,0.021899,-44.801746,13.738352,587.681580,38.323494,-50.129112,3.993965,0.085300,0.065211
56.000000,-5.770678,-1.480252,90.657654,2.131210,7.711451,1.156151,-0.085061,0.023508,-44.804111,13.736518,586.946106,38.183182,-50.031082,3.993983,0.085240,0.065054
57.000000,-5.339584,-1.947552,94.609604,2.230043,8.084480,1.181855,-0.085451,0.023571,-44.806019,13.955923,585.852539,38.101967,-49.981628,3.963926,0.085314,0.065037
58.000000,-4.677953,-2.187661,98.605057,2.453466,8.463553,1.194431,-0.085833,0.024882,-44.807892,13.736190,585.847900,38.112045,-49.885094,3.993863,0.085150,0.065055
