Seq,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy
30.000000,10.896024,-8.800937,327.523376,1.512916,33.224850,3.926666,-0.101443,0.004619,-8.624870,4.190436,356.564209,4.861567,-37.069637,0.080378,0.103963,0.013634
31.000000,10.671862,-8.583090,327.133453,1.436152,33.167702,3.940048,-0.101389,0.004390,-8.849993,3.974203,355.834106,4.871108,-36.983540,0.151831,0.103935,0.013689
32.000000,11.114347,-8.803991,327.149353,1.444720,33.187511,3.968918,-0.101445,0.004416,-8.849301,4.193020,355.471008,4.790877,-37.031055,0.121903,0.104175,0.013478
33.000000,10.895209,-8.798882,326.796356,1.373622,33.126064,3.926537,-0.101366,0.004203,-8.628469,3.974346,355.102081,4.732154,-36.974407,0.110495,0.104123,0.013326
34.000000,10.894246,-8.799236,326.426910,1.443857,33.077663,3.926569,-0.101333,0.004423,-8.633572,3.750956,354.732178,4.672160,-36.923946,0.080220,0.104090,0.013171
35.000000,10.670217,-9.017246,326.434113,1.453833,33.066368,3.997999,-0.101296,0.004454,-9.077577,3.756913,354.008911,4.669974,-36.848179,0.080000,0.104088,0.013192
36.000000,10.669947,-8.798811,326.053802,1.375635,33.018745,3.968943,-0.101268,0.004219,-8.857906,3.757035,353.277649,4.669444,-36.741962,0.038370,0.104003,0.013217
37.000000,10.669539,-8.797784,325.690277,1.305994,32.969353,3.968879,-0.101229,0.004010,-9.080175,3.757502,353.278442,4.668990,-36.751209,0.079871,0.104029,0.013216
38.000000,10.673680,-8.573415,325.337677,1.363225,32.919178,3.998585,-0.101185,0.004190,-8.853986,3.979508,353.279846,4.659286,-36.743408,0.068653,0.104007,0.013189
39.000000,10.673223,-8.569672,324.239899,1.291802,32.967678,3.998756,-0.101677,0.003984,-8.856585,3.980097,352.549377,4.658301,-36.646435,0.068524,0.103947,0.013213
40.000000,10.673223,-8.569672,324.239899,1.291802,32.967678,3.998756,-0.101677,0.003984,-8.861504,3.540946,351.815552,4.540027,-36.646732,0.068487,0.104165,0.012905
41.000000,10.667574,-9.010776,323.876373,1.243707,32.918293,3.998008,-0.101638,0.003840,-8.861250,3.758234,351.815979,4.529048,-36.645115,0.038404,0.104160,0.012873
42.000000,10.667167,-9.009748,323.512848,1.174058,32.868896,3.997944,-0.101600,0.003629,-8.863848,3.758824,351.085510,4.528062,-36.548145,0.038275,0.104100,0.012897
43.000000,10.452580,-8.781298,323.170746,1.229843,32.806664,3.985332,-0.101515,0.003806,-8.860181,3.764008,351.087280,4.528882,-36.551212,0.098641,0.104109,0.012900
44.000000,10.453376,-8.781723,323.546387,1.300240,32.756866,3.985035,-0.101243,0.004019,-8.863962,3.763680,349.989075,4.457742,-36.405228,0.098520,0.104018,0.012737
45.000000,10.664424,-9.008403,322.046967,1.175232,32.673309,3.997878,-0.101455,0.003649,-8.865378,3.765186,349.626373,4.526914,-36.357273,0.098382,0.103989,0.012948
46.000000,10.669528,-8.783679,322.063782,1.162231,32.671539,4.027553,-0.101444,0.003609,-8.866561,3.764269,349.258636,4.456754,-36.308258,0.098390,0.103958,0.012761
